,current SCA,min SCA,max SCA,mean SCA
2022-10-01,12.22622231685267,5.425167232128396,31.59263849352209,13.25408367590274
2022-10-02,12.614948578025764,5.771197015431882,32.205712394421795,14.379415935246826
2022-10-03,13.003674839198858,6.117226798735368,37.89974917377914,14.849994699881563
2022-10-04,11.555177603896386,4.833280083957691,43.593785953136475,14.997383727151277
2022-10-05,10.106680368593915,4.792532300603928,49.28782273249382,15.626354071485096
2022-10-06,8.966988111212439,4.751784517250164,54.98185951185117,15.809478539692421
2022-10-07,8.991990264963034,4.711036733896401,51.552523912212244,16.338361468895013
2022-10-08,8.083930507443743,6.102889078259049,48.12318831257332,16.63510128524631
2022-10-09,8.243833704462453,7.494741422621697,44.69385271293439,17.74625814736513
2022-10-10,8.403736901481162,7.200521208974026,41.26451711329546,17.382172154040386
2022-10-11,8.563640098499873,6.635548735321574,41.35508242551668,17.537977192722906
2022-10-12,8.723543295518581,5.683031847348016,37.78562491038404,17.872526622069007
2022-10-13,8.883446492537292,4.572708001455037,44.8616776828023,18.805040422873923
2022-10-14,9.043349689556,4.324353652912292,51.93773045522056,19.505729923030295
2022-10-15,9.203252886574711,4.4982553356307875,59.013783227638825,20.911584614656867
2022-10-16,9.36315608359342,4.672157018349284,66.08983600005709,22.38688518933347
2022-10-17,9.52305928061213,4.84605870106778,53.47258991275021,22.744157735841792
2022-10-18,9.68296247763084,5.019960383786277,50.22449429705716,23.216758904654323
2022-10-19,9.84286567464955,4.4285351590777,46.08119887001729,23.424151483403328
2022-10-20,10.002768871668259,3.6060771321887,47.14809091382634,24.40811877123125
2022-10-21,10.16267206868697,5.118966735981004,50.21814133139063,25.351421760286616
2022-10-22,10.32257526570568,3.736155457992417,51.398446281693616,24.5529562275158
2022-10-23,10.482478462724389,5.34464879627352,58.6521227044217,24.54355381286632
2022-10-24,10.642381659743098,5.246302819640708,65.90579912714978,24.978819861448883
2022-10-25,10.802284856761808,4.850734292276451,73.15947554987787,24.759223366243596
