,cloudPercent,SCA_cloudFree,SCA,SCA_error
2013-12-23,72.68708316779794,85.1231740529834,59.593163317920926,36.34354158389897
2013-12-24,97.40642524153772,57.37544773689351,50.19128775082765,48.70321262076887
2013-12-25,98.16824450431125,98.2941447671738,50.88463065086859,49.08412225215562
2013-12-26,99.81758451495216,100.0,50.09120774252393,49.90879225747608
2013-12-27,34.452109874296355,72.2618970749661,64.59220383459602,17.226054937148177
2013-12-28,54.25518424901302,81.53829095209935,64.42713308704803,27.12759212450651
2013-12-29,94.72661858351772,89.15759128763612,52.06492914210429,47.36330929175887
2013-12-30,14.588659566903136,70.91968719336327,67.86778524626247,7.294329783451568
2013-12-31,9.00994708994709,74.13148248078748,71.95724867724867,4.504973544973545
2014-01-01,12.325856961489633,71.99262455713554,69.28184511214558,6.162928480744816
2014-01-02,93.68654875926958,100.0,53.15672562036521,46.84327437963479
2014-01-03,93.3519199087568,98.61481763883594,53.23195201284163,46.675959954378406
2014-01-04,100.0,-1.0,50.0,50.0
2014-01-05,92.4568801602258,100.0,53.7715599198871,46.2284400801129
2014-01-06,10.90695194407299,87.20111715922368,83.14360918800887,5.453475972036495
2014-01-07,46.60378954491626,81.41623762376238,66.77508035865336,23.30189477245813
2014-01-08,58.43279358724206,97.55339253418953,69.76661683095557,29.21639679362103
2014-01-09,77.69665627297387,73.89179358945215,55.32866884680711,38.84832813648693
2014-01-10,91.94384850583644,68.48395890123714,51.4890957312026,45.97192425291822
2014-01-11,69.7536912524918,91.34830205540662,62.50633510153057,34.8768456262459
2014-01-12,2.4484405161028144,66.80031937790739,66.38897355142403,1.2242202580514072
2014-01-13,2.362991372668546,66.41317354884583,66.0253316739055,1.181495686334273
2014-01-14,100.0,-1.0,50.0,50.0
2014-01-15,26.68342686880486,88.62193178931813,78.31627686499573,13.34171343440243
2014-01-16,99.98648774184832,100.0,50.006756129075846,49.99324387092416
2014-01-17,97.58468385538504,100.0,51.207658072307474,48.792341927692526
2014-01-18,74.78058134328988,99.18271646290404,62.40359517152245,37.39029067164494
2014-01-19,96.51805997753588,100.0,51.74097001123207,48.259029988767935
2014-01-20,91.88906154989527,97.35526863806749,53.84095669211539,45.94453077494764
2014-01-21,63.79855312531693,64.50332671880471,55.25041411716981,31.899276562658464
2014-01-22,4.588864806285559,71.3236077095091,70.34509617989706,2.29443240314278
2014-01-23,70.0318845727721,87.72929954281199,61.30676003687447,35.01594228638605
2014-01-24,100.0,-1.0,50.0,50.0
2014-01-25,3.9336212005757343,69.88154624455764,69.0982981965964,1.9668106002878671
2014-01-26,78.94843583633322,54.058285163776496,50.85433250519698,39.47421791816661
2014-01-27,56.15430116613148,66.36729816717096,57.17635626161906,28.07715058306574
2014-01-28,69.11646620290934,76.23843669604248,58.10335646485052,34.55823310145467
2014-01-29,21.094206395570342,79.8289662868302,73.53678257262114,10.547103197785171
2014-01-30,100.0,-1.0,50.0,50.0
2014-01-31,99.9425729028553,100.0,50.02871354857235,49.97128645142765
2014-02-01,87.31830505325215,99.56043956043956,56.2851037593223,43.65915252662607
2014-02-02,98.5778348295344,100.0,50.7110825852328,49.288917414767205
2014-02-03,86.56367199378316,86.33306091657761,54.88182923944994,43.28183599689158
2014-02-04,89.68866665540483,100.0,55.15566667229759,44.844333327702415
2014-02-05,96.85755546359714,97.0438054286482,51.47832549340855,48.42877773179857
2014-02-06,26.09409653444394,75.8676379630266,69.11642710819916,13.04704826722197
2014-02-07,94.5012625729463,91.66026724005528,52.29078870693951,47.25063128647315
2014-02-08,82.26236929677866,95.19070520451407,58.01576040135813,41.13118464838933
2014-02-09,99.71370903041102,100.0,50.14314548479448,49.85685451520551
2014-02-10,99.82349612789352,100.0,50.08825193605324,49.91174806394676
2014-02-11,75.64054863095943,78.95303224910613,57.05279981058364,37.82027431547972
2014-02-12,24.21392963241953,83.7298130402734,75.5596651742262,12.106964816209766
2014-02-13,96.907077141433,99.97268505872712,51.54561659922107,48.453538570716496
2014-02-14,10.0602787043465,83.20232704816952,79.85785401039638,5.030139352173251
2014-02-15,61.40938462058932,74.14526168142369,59.31780506783044,30.70469231029466
2014-02-16,100.0,-1.0,50.0,50.0
2014-02-17,97.85239547001544,96.34290208415256,50.99526226448556,48.926197735007726
