,cloudPercent,SCA_cloudFree,SCA,SCA_error
2018-02-06,0.032925940153184015,79.49236297607423,36.8847939558088,0.016462970076592007
2018-02-07,0.04664508188367736,75.96227264404297,35.243986337767446,0.02332254094183868
2018-02-08,0.04664508188367736,75.37701416015625,34.97262541638207,0.02332254094183868
2018-02-09,0.032925940153184015,79.49236297607423,36.8847939558088,0.016462970076592007
2018-02-10,0.052916689531902886,72.589599609375,33.678796184510695,0.026458344765951443
2018-02-11,0.06859570865246671,69.80615234375,32.385292311425495,0.034297854326233355
2018-02-12,0.06859570865246671,70.32002258300781,32.62344056489225,0.034297854326233355
2018-02-13,0.06859570865246671,70.32002258300781,32.62344056489225,0.034297854326233355
2018-02-14,0.06663583126239622,71.32311248779295,33.08873090577371,0.03331791563119811
2018-02-15,0.06663583126239622,70.8873519897461,32.88677332533027,0.03331791563119811
2018-02-16,0.04546915544963507,68.21375274658203,31.65152214326678,0.022734577724817535
2018-02-17,0.04546915544963507,67.82010650634766,31.46899951686032,0.022734577724817535
2018-02-18,0.04546915544963507,67.38296508789064,31.266309406673265,0.022734577724817535
2018-02-19,0.06114817457019889,69.37404632568361,32.186479793893064,0.030574087285099444
2018-02-20,0.050956812141832404,70.1624526977539,32.5539727409757,0.025478406070916202
2018-02-21,0.050956812141832404,68.01937103271484,31.560403999860515,0.025478406070916202
2018-02-22,0.023518528680845724,68.42601013183594,31.753984513332608,0.011759264340422862
2018-02-23,0.023518528680845724,70.00059509277344,32.48442065022639,0.011759264340422862
2018-02-24,0.06702780674041033,70.21515655517578,32.57515835988744,0.03351390337020516
2018-02-25,0.06702780674041033,68.72554779052736,31.884790052292633,0.03351390337020516
2018-02-26,0.06663583126239622,67.58182525634766,31.354793753615105,0.03331791563119811
2018-02-27,0.06781175769643852,65.9666748046875,30.606048294739775,0.03390587884821926
2018-02-28,0.09289818828934063,71.64270782470703,33.23116669010274,0.046449094144670314
2018-03-01,0.07094756152055127,70.85546875,32.871097486016275,0.03547378076027564
2018-03-02,0.07094756152055127,70.85546875,32.871097486016275,0.03547378076027564
2018-03-03,0.07094756152055127,70.28535461425781,32.606896944258125,0.03547378076027564
2018-03-04,0.07682719369076271,65.55713653564452,30.414845941936967,0.038413596845381356
2018-03-05,0.07682719369076271,65.48636627197266,30.382053964738514,0.038413596845381356
2018-03-06,0.05526854239998745,69.1166000366211,32.068273582934296,0.027634271199993725
2018-03-07,0.05526854239998745,68.90721893310547,31.97121000612521,0.027634271199993725
2018-03-08,0.06585188030636803,77.82585906982422,36.102712276503205,0.032925940153184015
2018-03-09,0.08192287490494594,72.62298583984375,33.68771188351215,0.04096143745247297
2018-03-10,0.08192287490494594,73.97438049316406,34.313822723331974,0.04096143745247297
2018-03-11,0.08192287490494594,72.69248962402344,33.719913485447215,0.04096143745247297
2018-03-12,0.08192287490494594,72.38311767578125,33.576579241927234,0.04096143745247297
2018-03-13,0.10661733001983396,71.73548126220702,33.271157185736904,0.05330866500991698
2018-03-14,0.10818523193189035,67.97784423828125,31.53086304264067,0.054092615965945175
2018-03-15,0.10818523193189035,67.97784423828125,31.53086304264067,0.054092615965945175
2018-03-16,0.1023055997616789,67.0043716430664,31.08110165547599,0.05115279988083945
2018-03-17,0.09681794306948158,68.34354400634766,31.702283491521722,0.04840897153474079
2018-03-18,0.09681794306948158,68.23069763183594,31.65001776502534,0.04840897153474079
2018-03-19,0.09681794306948158,69.23822021484376,32.11666013603877,0.04840897153474079
2018-03-20,0.09289818828934063,67.16505432128906,31.157129129056866,0.046449094144670314
2018-03-21,0.12582412844252464,65.36237335205077,30.317073744895566,0.06291206422126232
2018-03-22,0.16698155363400466,67.23328399658203,31.175965942037582,0.08349077681700233
2018-03-23,0.12268832461841186,64.98907470703126,30.14475571481491,0.06134416230920593
2018-03-24,0.11563276601415816,65.4649887084961,30.36614721947448,0.05781638300707908
2018-03-25,0.14267907399713073,58.66341018676757,27.21487675772233,0.07133953699856536
2018-03-26,0.14267907399713073,58.704952239990234,27.234098249692956,0.07133953699856536
2018-03-27,0.13954327017301796,60.577709197998054,28.10095386657495,0.06977163508650898
2018-03-28,0.14503092686521532,60.14699172973632,27.90109072195175,0.07251546343260766
2018-03-29,0.14503092686521532,60.008377075195305,27.836957034881227,0.07251546343260766
2018-03-30,0.14503092686521532,59.96873474121094,27.8186154745973,0.07251546343260766
2018-03-31,0.14503092686521532,59.99340438842773,27.830029530636192,0.07251546343260766
2018-04-01,0.13209573609075015,60.674861907958984,28.14670444842276,0.06604786804537507
2018-04-02,0.15365438738152543,62.531024932861335,29.003045286697255,0.07682719369076271
